FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
ZNUNHU,None,ZNUNHU02,ZNUNHU05,76.2,22055681,1790603,12DMZ,577A1972-9355-11D6-9595-0002A54212B3,LIVE,ZNUNHU02,ZNUNHU05,VENT,534223.9,174918.80000000002,POINT (534223.9000000004 174918.80000000075)
ZCRCHH,None,ZCRCHH43,None,304.8,26182275,1791014,12DYE,99D123ED-9356-11D6-9595-0002A54212B3,LIVE,ZCRCHH43,ZCRCHH,VENT,531030.5,190401.6,POINT (531030.5 190401.59999999963)
None,None,ZNORWD25,ZNORWD44,304.8,22042233,1790182,12DBA,B57208D5-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD25,ZNORWD44,VENT,532697.4,167610.2,POINT (532697.4000000004 167610.19999999925)
ZSEWRD,None,ZSEWRD24,None,203.20000000000002,21862466,1790127,12D9R,8E7364D5-9354-11D6-9595-0002A54212B3,LIVE,ZSEWRD24,ZSEWRD,VENT,529975.9,191463.4,POINT (529975.9000000004 191463.40000000037)
ZNORWD,None,ZNORWD47,None,203.20000000000002,22042220,1790000,12D68,C9E5B98B-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD47,ZWKREGES,VENT,534132.2,168366.30000000002,POINT (534132.2000000002 168366.30000000075)
ZWOODF,None,ZWOODF38,None,203.20000000000002,22038761,1796972,12IJW,59E417D6-9356-11D6-9595-0002A54212B3,LIVE,ZWOODF38,ZWOODF,VENT,536986,185118.9,POINT (536986 185118.90000000037)
ZWOODF,None,ZWOODF89,None,304.8,19084889,1791175,12E2V,4EDD2F6C-9356-11D6-9595-0002A54212B3,LIVE,ZWOODF,ZWOODF,UNK,535632.4,189372,POINT (535632.4000000004 189372)
ZJUNIP,None,ZJUNIP01,None,null,25168863,1796244,12HZO,C7FB1A6A-EAE7-47E2-95EE-F8272F0EE418,LIVE,ZJUNIP01,ZJUNIP,UNK,489190.5,188146,POINT (489190.5 188146)
ZSTRMR,None,ZSTRMR06,None,304.8,25439974,1795802,12HNE,334790D5-30E4-4AFD-881C-882011F66D59,LIVE,ZSTRMR06,ZSTRMR,UNK,530559.7,173324.2,POINT (530559.7000000002 173324.19999999925)
None,None,ZHAMCO13,ZHAMCO18,304.8,21837721,1789891,12D37,895EF97F-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO13,ZHAMCO18,VENT,512902,173925,POINT (512902 173925)
ZCRCHH,None,None,ZCRCHH96,177.8,26626419,1791308,12E6K,2012FE93-9356-11D6-9595-0002A54212B3,LIVE,ZCRCHH,ZCRCHH96,VENT,533083.2,184021.1,POINT (533083.2000000002 184021.09999999963)
ZCRCHH,None,ZCRCHH,ZCRCHH01,254,21898235,1791393,12E8X,B714481D-9356-11D6-9595-0002A54212B3,LIVE,ZCRCHH01,ZCRCHH,VENT,533065.6,194115.80000000002,POINT (533065.5999999996 194115.80000000075)
ZMAIDL,None,ZMAIDL38,None,101.60000000000001,16356664,1790910,12DVI,D0CF2EE2-9355-11D6-9595-0002A54212B3,LIVE,ZMAIDL38,ZMAIDL,VENT,530757.308,186285.5868,POINT (530757.3080000002 186285.5867999997)
ZSTHGB,None,ZSTHGB02,ZSTHGB03,101.60000000000001,26366919,1790109,12D99,8E7372BA-9354-11D6-9595-0002A54212B3,LIVE,ZSTHGB02,ZSTHGB03,VENT,529238.5,195053.4,POINT (529238.5 195053.40000000037)
ZWOODF,None,ZWOODF24,None,101.60000000000001,null,9576665,6P9EH,None,LIVE,ZWOODF24,None,None,541036.46925145,188226.24906484,POINT (541036.4693 188226.24909999967)
ZMAIDL,None,ZMAIDL12,None,228.6,16381856,1790981,12DXH,D0CF32A3-9355-11D6-9595-0002A54212B3,LIVE,ZMAIDL12,ZMAIDL,VENT,530471.2,186010.9,POINT (530471.2000000002 186010.90000000037)
ZBLUNS,None,ZBLUNS16,None,null,25039155,1789375,12COV,650E64AC-6209-42A4-A24E-ACB0FCC0BFF4,LIVE,ZBLUNS16,ZBLUNS,UNK,415777.5,186512.1,POINT (415777.5 186512.09999999963)
ZNUNHU,None,ZNUNHU02,None,457.2,22055679,1790774,12DRQ,577A21F0-9355-11D6-9595-0002A54212B3,LIVE,ZNUNHU02,ZNUNHU,VENT,534112.9,175376.5,POINT (534112.9000000004 175376.5)
ZSILCH,None,ZSILCH01,None,152.4,22078643,1795006,12H1A,924DD9F6-934E-11D6-9595-0002A54212B3,LIVE,ZSILCH01,ZWKREGWE,FBM,462298,162630.1,POINT (462298 162630.09999999963)
ZELTHM,None,None,None,450,25542361,1795999,12HSV,A40261B6-9358-11D6-9595-0002A54212B3,LIVE,ZELTHM,ZWKREGES,UNK,554329.4,172851.9,POINT (554329.4000000004 172851.90000000037)
ZHAM42,None,ZHAM4202,None,152.4,25096005,1789718,12CYE,24582978-6E97-4698-BB17-F8AB40AE58F4,LIVE,ZHAM42,ZHAM4202,UNK,521604.52,170000.3792,POINT (521604.51999999955 170000.37920000032)
