FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
ZRUSSH,None,None,ZRUSSH12,304.8,22029100,1790024,12D6W,8E737933-9354-11D6-9595-0002A54212B3,LIVE,ZRUSSH,ZRUSSH12,VENT,530845.44378792,166941.16536624,POINT (530845.4437999995 166941.1654000003)
ZHAMPS,None,None,None,355.6,null,7288132,4C8K4,None,LIVE,ZWKREGCN,ZHAMPS,None,526270.51534915,186237.64527156,POINT (526270.5153000001 186237.6453000009)
ZWIDDN,None,None,None,null,25026517,1796078,12HV2,F744530D-92F3-4245-A151-2338976DFD8F,LIVE,ZWIDDN,ZWKREGWE,UNK,486974.60000000003,192769.1,POINT (486974.5999999996 192769.09999999963)
ZOVPRV,None,ZOVPRV12,None,304.8,22097354,1790736,12DQO,2B065D2A-9355-11D6-9595-0002A54212B3,LIVE,ZOVPRV,ZOVPRV,VENT,531986.1,179070.4,POINT (531986.0999999996 179070.40000000037)
ZFARNH,None,ZFARNH11,ZFARNH04,101.60000000000001,21873307,1791886,12EMM,6119E4D8-9357-11D6-9595-0002A54212B3,LIVE,ZFARNH11,ZFARNH04,VENT,546444.2711,166909.687,POINT (546444.2710999995 166909.68700000085)
ZSUHIL,None,ZSUHIL40,None,101.60000000000001,22055893,1790578,12DMA,F48F1162-9353-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,ZSUHIL40,VENT,522156.95790592,183069.67553136,POINT (522156.9578999998 183069.6754999999)
ZHGHBE,None,ZHGHBE03,ZHGHBE07,150,null,7643412,5KUP0,None,LIVE,ZHGHBE03,ZHGHBE07,None,539096.95173217,193361.59165476,POINT (539096.9517000001 193361.5917000007)
None,None,ZCRCHH63,None,304.8,26700495,1790857,12DU1,A8D9CC6F-79C3-4D30-9F14-BF8982CE68E2,LIVE,ZCRCHH,ZCRCHH,UNK,532115.4,181855.5,POINT (532115.4000000004 181855.5)
None,None,None,None,254,26582307,1796457,12I5L,53DBE799-85CE-430F-9180-917A5E79E4D9,LIVE,ZWKREGCN,None,UNK,528275.2,187386.2,POINT (528275.2000000002 187386.19999999925)
ZBISHW,None,ZBISHW14,ZBISHW16,250,25876620,1790321,12DF5,3B9A0719-0EE8-4D19-BD32-43113F2107A7,LIVE,ZBISHW14,ZBISHW16,UNK,527491.9,184334.5,POINT (527491.9000000004 184334.5)
ZHAM36,None,ZHAM3643,None,228.6,22078472,1790453,12DIT,4FBCDC9F-9355-11D6-9595-0002A54212B3,LIVE,ZHAM3643,ZHAM36,VENT,533170.3285,179914.3492,POINT (533170.3284999998 179914.34919999912)
ZRUSSH,None,None,ZRUSSH11,177.8,22029086,1790072,12D88,9FC612D4-9354-11D6-9595-0002A54212B3,LIVE,ZRUSSH,ZRUSSH11,VENT,531318.64070079,166930.08884956,POINT (531318.6407000003 166930.08880000003)
None,None,ZOVPRV06,ZOVPRV07,228.6,22071697,1790534,12DL2,2B064C9D-9355-11D6-9595-0002A54212B3,LIVE,ZOVPRV06,ZOVPRV07,VENT,531225,178332.5,POINT (531225 178332.5)
ZCRCHH,None,None,ZCRCHH24,null,26345433,1790953,12DWP,A98B9112-46A0-4B0D-B1C0-B0F583CBF3A4,LIVE,ZCRCHH,ZCRCHH24,UNK,532476.4,184849.1,POINT (532476.4000000004 184849.09999999963)
ZSUHIL,None,ZSUHIL49,None,177.8,25623364,1790050,12D7M,C75097F2-B5B5-480B-8A14-02A8985788B9,LIVE,ZSUHIL49,ZWKREGCN,UNK,529483.5,180659.5,POINT (529483.5 180659.5)
ZHAGBH,None,ZHAGBH13,None,150,25003395,1789186,12CJM,65212FE6-AF93-4720-9CCD-C87CF2F3F883,LIVE,ZHAGBH13,ZHAGBH,VENT,449821.8,191631.30000000002,POINT (449821.7999999998 191631.30000000075)
ZSUR30,None,None,None,300,22171184,7927620,5QX0O,C32DBFF2-9352-11D6-9595-0002A54212B3,LIVE,ZWKREGCS,ZSUR30,UNK,518669.10000000003,171781.5,POINT (518669.0999999996 171781.5)
ZTILEH,None,ZTILEH02,None,180,null,8202743,5WUAX,None,LIVE,ZTILEH02,ZTILEH02,VENT,471177.7961,173772.6771,POINT (471177.7960999999 173772.6771000009)
ZSUR30,None,ZSUR3010,ZSUR3014,304.8,22040608,1789720,12CYG,1ADCBE8E-9353-11D6-9595-0002A54212B3,LIVE,ZSUR3010,ZSUR3014,VENT,522786,168446.1,POINT (522786 168446.09999999963)
ZBLUNS,None,ZBLUNS14,ZBLUNS10,203.20000000000002,16336707,1789350,12CO6,DDAE07E6-934B-11D6-9595-0002A54212B3,LIVE,ZBLUNS14,ZBLUNS10,VENT,413860.10000000003,185764.5,POINT (413860.0999999996 185764.5)
ZFRNBO,ZWWICK,None,None,457.2,22203784,1795891,12HPV,E4E31ED8-9354-11D6-9595-0002A54212B3,LIVE,ZFRNBO,ZWWICK,UNK,538015.5,164574.2,POINT (538015.5 164574.19999999925)
ZEPSOM,None,ZEPSOM06,None,381,25154207,1796210,12HYQ,0B58BD0D-9353-11D6-9595-0002A54212B3,LIVE,ZEPSOM06,ZEPSOM,UNK,521235.10000000003,161185.9,POINT (521235.0999999996 161185.90000000037)
ZBARHT,None,None,ZBARHT67,180,25323301,1792438,12F1Y,846A4C29-D0E6-4C3C-9FA8-75BD450C20C6,LIVE,ZBARHT,ZBARHT67,UNK,524550.3,178985,POINT (524550.2999999998 178985)
ZEALNG,None,ZEALNG16,None,304.8,22054926,1789927,12D47,D0E5A2F9-9352-11D6-9595-0002A54212B3,LIVE,ZEALNG16,ZEALNG,VENT,518120,179223.9,POINT (518120 179223.90000000037)
ZEALBS,None,ZEALBS09,None,300,25114684,1790157,12DAL,80B05217-E546-4243-A8E6-743BA7BCBFC7,LIVE,ZEALBS09,ZEALBS,UNK,518197.2,181913,POINT (518197.2000000002 181913)
ZFINSB,None,ZFINSB04,ZFINSB93,228.6,21836987,1791341,12E7H,31A148A7-9356-11D6-9595-0002A54212B3,LIVE,ZFINSB04,ZFINSB93,VENT,534928.7,184119.1,POINT (534928.7000000002 184119.09999999963)
ZRIVSE,None,ZRIVSE10,None,203.20000000000002,22042705,1791641,12EFT,B5489910-9357-11D6-9595-0002A54212B3,LIVE,ZRIVSE10,ZRIVSE,VENT,544385.8382,178400.5761,POINT (544385.8382000001 178400.57609999925)
ZSUHIL,None,ZSUHIL49,ZSUHIL11,250,null,7579918,4IHPA,None,LIVE,ZSUHIL49,ZSUHIL11,None,529668.84066172,181355.27455376,POINT (529668.8406999996 181355.2745999992)
ZELTHM,None,ZELTHM06,ZELTHM08,101.60000000000001,16347559,1791687,12EH3,E5DA20E6-9357-11D6-9595-0002A54212B3,LIVE,ZELTHM06,ZELTHM08,VENT,549886.7,174395.30000000002,POINT (549886.7000000002 174395.30000000075)
ZPUTNY,None,ZPUTNY13,ZPUTNY24,304.8,25522955,1789446,12CQU,A4F58FEC-9353-11D6-9595-0002A54212B3,LIVE,ZPUTNY13,ZPUTNY24,VENT,527221.1,178814.4,POINT (527221.0999999996 178814.40000000037)
ZBEPRV,None,ZBEPRV08,ZBEPRV09,180,26389773,7434708,4FDOO,A7F8246B-98B5-4408-A18C-A193CC0759DC,LIVE,ZBEPRV08,ZBEPRV09,UNK,532932.01463733,177973.95284068,POINT (532932.0146000003 177973.9528000001)
None,ZSUHIL,None,ZSUHIL10,150,null,9712502,6S68Q,None,LIVE,ZWKREGCN,ZSUHIL10,None,526923.5131,181318.3234,POINT (526923.5131000001 181318.3234000001)
ZSTKWD,None,ZSTKWD26,None,228.6,22055982,1789466,12CRE,42D24D2B-9351-11D6-9595-0002A54212B3,LIVE,ZSTKWD26,ZSTKWD,VENT,497234.7,180965,POINT (497234.7000000002 180965)
ZMILCM,None,ZMILCM03,None,200,13931911,1796336,12I28,36E57C71-934A-11D6-9595-0002A54212B3,LIVE,ZMILCM03,ZWKREGWE,VENT,465318.8,203452.7,POINT (465318.7999999998 203452.69999999925)
ZBROML,None,ZBROML07,None,152.4,16337325,1791570,12EDU,73005862-9357-11D6-9595-0002A54212B3,LIVE,ZBROML07,ZBROML,VENT,540133.2,173861.30000000002,POINT (540133.2000000002 173861.30000000075)
ZSEWRD,None,None,None,150,null,8401683,503S3,None,LIVE,ZSEWRD,None,OTH,536201.7806,192962.7443,POINT (536201.7806000002 192962.74430000037)
ZOXLWD,None,ZOXLWD33,ZOXLWD06,304.8,16318196,1791583,12EE7,C543E7B3-9357-11D6-9595-0002A54212B3,LIVE,ZOXLWD33,ZOXLWD06,VENT,546579.8,176044.80000000002,POINT (546579.7999999998 176044.80000000075)
ZASHKY,None,ZASHKY01,None,406.40000000000003,14000835,1796371,12I37,4643EB00-934B-11D6-9595-0002A54212B3,LIVE,ZWKREGWE,ZASHKY,UNK,407466,185013.4,POINT (407466 185013.40000000037)
None,None,None,None,177.8,25542585,1793354,12FRE,D4A9F565-6ECF-4A36-8CD4-E04FE53AE2FF,LIVE,ZWKREGCS,None,UNK,507871.78169489,147818.4144937,POINT (507871.78170000017 147818.41449999996)
ZMEROW,None,ZMEROW01,None,101.60000000000001,25034363,1792897,12FEP,D4592545-5611-4FDB-9587-D46B11E6223B,LIVE,ZMEROW01,ZMEROW,FBM,500312.2,149157,POINT (500312.2000000002 149157)
ZHAM36,None,ZHAM3610,None,200,22074565,1790461,12DJ1,4FBCCD51-9355-11D6-9595-0002A54212B3,LIVE,ZHAM36,ZHAM36,VENT,533234.79972515,178852.5892542,POINT (533234.7997000003 178852.58929999918)
ZPUTNY,None,ZPUTNY09,None,177.8,22076029,1789220,12CKK,914C84CA-9353-11D6-9595-0002A54212B3,LIVE,ZPUTNY09,ZPUTNY,VENT,526429.7,177936.9,POINT (526429.7000000002 177936.90000000037)
ZSUR30,None,ZSUR3010,ZSUR3011,101.60000000000001,22040605,1789607,12CVB,1ADCD314-9353-11D6-9595-0002A54212B3,LIVE,ZSUR3010,ZSUR3011,VENT,524481.4,169048.30000000002,POINT (524481.4000000004 169048.30000000075)
ZWOODF,None,ZWOODF37,None,177.8,22039946,1791751,12EIV,F60EA733-9357-11D6-9595-0002A54212B3,LIVE,ZWOODF37,ZWOODF,VENT,540503.8,185979.1,POINT (540503.7999999998 185979.09999999963)
ZBLUNS,None,None,None,450,null,9421234,6MXHY,None,LIVE,ZBLUNS,None,None,413483.3790498,183951.74737864,POINT (413483.3789999997 183951.7474000007)
ZWIMBC,None,ZWIMBC13,None,127,22031744,1789677,12CX9,544C1B8B-9353-11D6-9595-0002A54212B3,LIVE,ZWIMBC13,ZWIMBC,VENT,523281.4,173712,POINT (523281.4000000004 173712)
ZWINWD,ZWIDDN,None,None,609.6,26088406,1796038,12HTY,18127AFF-2F9B-42EA-A3E1-42BCAAB01C19,LIVE,ZWIDDN,ZWIDDN,UNK,481224.2127,197982.8065,POINT (481224.21270000003 197982.80650000088)
ZELTHM,None,None,None,457.2,25316952,1796019,12HTF,96FFBA7B-6ED4-45EC-89E4-C6481B2BECF5,LIVE,ZELTHM,ZWKREGES,UNK,548524.2,172784.80000000002,POINT (548524.2000000002 172784.80000000075)
ZHAMCO,None,ZHAMCO19,None,304.8,22108918,1789943,12D4N,9851B28C-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO19,ZHAMCO,UNK,514629.4,174517.80000000002,POINT (514629.4000000004 174517.80000000075)
ZFARDN,None,ZFARDN01,None,200,22069656,1796477,12I65,54DC7688-934C-11D6-9595-0002A54212B3,LIVE,ZFARDN01,ZFARDN,VENT,426827,184852.5,POINT (426827 184852.5)
ZWIDDN,None,ZWIDDN27,None,100,14364572,1789567,12CU7,7B9A4CA2-9350-11D6-9595-0002A54212B3,LIVE,ZWIDDN27,ZWIDDN,VENT,489507.3,192854.7,POINT (489507.2999999998 192854.69999999925)
ZFRNBO,ZFARNH,None,None,300,null,7621781,5JD05,None,LIVE,ZFRNBO,ZFARNH,None,546561.3735,167281.9765,POINT (546561.3734999998 167281.9765000008)
ZELTHM,None,ZELTHM24,None,250,null,8390156,50UWW,None,LIVE,ZELTHM24,ZELTHM,None,551460.97524594,172902.89194975,POINT (551460.9752000002 172902.89189999923)
None,ZCRCHH60,None,None,406.40000000000003,22057705,1791066,12DZU,F14B5A7F-9355-11D6-9595-0002A54212B3,LIVE,ZCRCHH60,ZCRCHH,VENT,532805,181905.6,POINT (532805 181905.59999999963)
ZKNOCK,None,ZKNOCK02,ZKNOCK05,101.60000000000001,21831644,1791779,12EJN,0DECB6EE-9357-11D6-9595-0002A54212B3,LIVE,ZKNOCK02,ZKNOCK06,VENT,543560.7,159405.9,POINT (543560.7000000002 159405.90000000037)
ZCRCHH,None,ZCRCHH105,None,250,25005113,1791312,12E6O,B0B06FC1-F5D1-48A4-91E2-DAD0DF92AE27,LIVE,ZCRCHH105,ZCRCHH,UNK,533586.8237,185862.3813,POINT (533586.8236999996 185862.38130000047)
None,None,ZBARHT46,None,180,26103174,1790586,12DMI,6F322936-A8DA-49AE-BEA3-A64B6A2AF4D4,LIVE,ZBARHT46,ZWKREGCN,UNK,524327.4,181291.9,POINT (524327.4000000004 181291.90000000037)
ZBARHT,None,ZBARHT68,None,355,null,8158634,5VV9Q,None,LIVE,ZBARHT68,ZWKREGCN,None,528538.56646422,181071.9424193,POINT (528538.5664999997 181071.94239999913)
ZSUHIL,None,ZSUHIL49,None,152.4,25051666,1790103,12D93,B48E9277-4F14-49E6-84C2-CBC6FA2B44D3,LIVE,ZSUHIL49,ZWKREGCN,UNK,529033.9,181160.2,POINT (529033.9000000004 181160.19999999925)
None,None,None,None,900,22198834,1797581,12J0T,6AFCFBD4-9355-11D6-9595-0002A54212B3,LIVE,ZWKREGES,None,FBM,535329.4,174951.7,POINT (535329.4000000004 174951.69999999925)
ZFINSB,None,ZFINSB49,None,228.6,16357912,1791376,12E8G,64658234-9356-11D6-9595-0002A54212B3,LIVE,ZFINSB49,ZFINSB,VENT,537487.8,182019,POINT (537487.7999999998 182019)
ZBARHT,None,ZBARHT13,ZWKREGCN,180,null,7403672,4FPQK,None,LIVE,ZBARHT13,ZWKREGCN,None,524242.24861973,180521.90074664,POINT (524242.2485999996 180521.90069999918)
ZWWICK,None,ZWWICK04,None,180,22068998,1790941,12DWD,E4E306C2-9354-11D6-9595-0002A54212B3,LIVE,ZWWICK04,ZWWICK,VENT,537766.1,163015.9,POINT (537766.0999999996 163015.90000000037)
ZPRFTW,None,ZPRFTW01,None,150,25168223,7817210,5OKTQ,4170052D-2F12-4907-9842-C800BD0050B2,LIVE,ZPRFTW01,TF000049                      ,VENT,494869.28199961,146608.36593144,POINT (494869.28199999966 146608.36590000056)
ZSEWRD,None,None,None,150,null,8400813,5024X,None,LIVE,ZSEWRD,None,OTH,536450.4155,192920.3254,POINT (536450.4155000001 192920.32540000044)
ZBARHT,None,None,ZBARHT37,101.60000000000001,22059949,1790369,12DGH,4DAD741A-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,ZBARHT37,VENT,528741.1,180087.9,POINT (528741.0999999996 180087.90000000037)
ZWIDDN,None,ZWIDDN36,None,101.60000000000001,25825324,1793740,12G24,4CBB874F-3B72-4895-901E-2BD3746B285B,LIVE,ZWIDDN,None,UNK,489223.8,191751.5,POINT (489223.7999999998 191751.5)
ZWIDDN,None,None,None,609.6,25461003,1794458,12GM2,8CCE8828-9C99-42C4-ADDA-170837C3A27A,LIVE,ZWIDDN,ZWKREGWE,FBM,481704,191747.30000000002,POINT (481704 191747.30000000075)
ZEALBS,None,ZEALBS09,None,200,25851837,1793689,12G0P,235CC0AD-0445-4768-B6FC-45EBC817C6A4,LIVE,ZEALBS09,None,UNK,517486.60000000003,181758.4,POINT (517486.5999999996 181758.40000000037)
ZCRCHH,None,ZCRCHH54,None,250,26442962,1790965,12DX1,A8456363-205B-4DD6-AABB-123242960B91,LIVE,ZCRCHH,ZCRCHH54,UNK,532560.6,180816.80000000002,POINT (532560.5999999996 180816.80000000075)
None,None,None,None,300,14019519,1795718,12HL2,9D809AC8-934B-11D6-9595-0002A54212B3,LIVE,RF000004,ZWKREGWE,FBM,419148.7,176248.6,POINT (419148.7000000002 176248.59999999963)
None,ZTILET,None,None,228.6,25470737,1795933,12HR1,63B4949B-443D-4ADB-8832-FE6BD416068E,LIVE,ZWKREGWE,ZWKREGWE,UNK,466328.75215432,172941.26041951,POINT (466328.7522 172941.2603999991)
ZMAIDL,None,ZMAIDL34,None,null,null,10609732,6BFJS,None,PROP,ZMAIDL34,None,None,529582.6216,184689.0719,POINT (529582.6216000002 184689.0719000008)
None,None,None,None,null,null,10549558,6A43A,None,LIVE,ZWKREGCN,None,None,513268.6907,169490.0583,POINT (513268.69070000015 169490.05829999968)
ZHAM30,None,None,None,762,null,7573662,4ICWI,None,LIVE,ZHAM30,None,None,529215.49780622,175218.25376409,POINT (529215.4978 175218.25379999913)
ZWOODF,None,ZWOODF26,ZWOODF27,101.60000000000001,22039889,1791798,12EK6,19DDC13E-9358-11D6-9595-0002A54212B3,LIVE,ZWOODF26,ZWOODF27,VENT,542375.2,187716.80000000002,POINT (542375.2000000002 187716.80000000075)
ZTILEH,None,ZTILEH14,ZTILEH,150,null,7675585,5LJJP,None,LIVE,ZTILEH,ZTILEH14,None,470471.0687,172810.0571,POINT (470471.0686999997 172810.05709999986)
ZCOCKF,None,ZCOCKF05,ZCOCKF08,101.60000000000001,25715276,1791183,12E33,99D11C56-9356-11D6-9595-0002A54212B3,LIVE,ZCOCKF05,ZCOCKF08,VENT,530929.16158092,196829.74757344,POINT (530929.1616000002 196829.74760000035)
ZKEMPT,None,ZKEMPT09,None,null,null,10527721,6AN9P,None,LIVE,ZKEMPT09,None,FBM,520433.9051,181220.1411,POINT (520433.9051000001 181220.1411000006)
ZFARNH,None,ZFARNH09,None,152.4,21795706,1791637,12EFP,A72CA075-9357-11D6-9595-0002A54212B3,LIVE,ZFARNH09,ZFARNH,VENT,544143.3,171425.4,POINT (544143.2999999998 171425.40000000037)
None,None,None,None,304.8,25831421,1795929,12HQX,924DE7A6-934E-11D6-9595-0002A54212B3,LIVE,ZWKREGWE,TF000035,UNK,467218.8,164235.2,POINT (467218.7999999998 164235.19999999925)
ZMAIDL,None,ZMAIDL41,None,180,null,10523616,6AK3O,None,PROP,ZMAIDL41,None,None,528324.9196,184172.3083,POINT (528324.9195999997 184172.30829999968)
ZBOWSH,None,ZBOWSH07,None,150,14297589,1789926,12D46,A02EE150-934F-11D6-9595-0002A54212B3,LIVE,ZBOWSH07,ZBOWSH,VENT,475506.8,174377.4,POINT (475506.7999999998 174377.40000000037)
ZRIVSE,None,None,None,250,null,10395391,67T5V,None,LIVE,ZRIVSE,None,None,550418.4914,178275.1538,POINT (550418.4913999997 178275.1537999995)
ZMUNSD,None,None,ZMUNSD02,250,26080923,1789426,12CQA,1E7958E7-51B8-412A-8773-BB015E1A38DA,LIVE,ZMUNSD,ZMUNSD02,UNK,498620.71265337,142719.83328625,POINT (498620.71270000003 142719.83330000006)
ZHAGBH,None,ZHAGBH02,None,200,null,10429258,68JAM,None,LIVE,ZHAGBH02,ZHAGBH,None,452819.3477,190495.0205,POINT (452819.3476999998 190495.02050000057)
ZKEMPT,None,ZKEMPT08,ZKEMPT09,101.60000000000001,22049444,1790248,12DD4,DD5026F0-9353-11D6-9595-0002A54212B3,LIVE,ZKEMPT09,ZKEMPT09,VENT,520992.10000000003,182005.4,POINT (520992.0999999996 182005.40000000037)
ZSUHIL,None,ZSUHIL39,None,315,null,7750318,5M47M,None,LIVE,ZSUHIL39,ZWKREGCN,None,521637.1668,183364.052,POINT (521637.1667999998 183364.0519999992)
None,None,None,None,600,null,10410409,675Q1,None,LIVE,ZWKREGCS,None,OTH,529589.4476,170965.2047,POINT (529589.4475999996 170965.20470000058)
None,None,None,None,600,14078965,1794408,12GKO,27CDAF25-934C-11D6-9595-0002A54212B3,LIVE,TF000112                      ,None,FBM,414637.60000000003,190284.2,POINT (414637.5999999996 190284.19999999925)
ZALDBN,None,ZALDBN01,None,152.4,26088142,1796444,12I58,1EEB645F-132A-40DA-934C-6F576A831D9A,LIVE,ZWKREGWE,ZALDBN01,UNK,423661.4,173738.5,POINT (423661.4000000004 173738.5)
ZHAMPS,None,None,None,254,null,7288138,4C8KA,None,LIVE,ZHAMPS,ZWKREGCN,None,526281.56638784,186239.42322852,POINT (526281.5663999999 186239.42320000008)
ZELTHM,None,ZELTHM03,None,101.60000000000001,16347303,1791250,12E4Y,B548A67F-9357-11D6-9595-0002A54212B3,LIVE,ZELTHM,ZELTHM,VENT,545974.1,174573.1,POINT (545974.0999999996 174573.09999999963)
ZFARNH,None,ZFARNH15,None,300,21794906,1791587,12EEB,C543D68A-9357-11D6-9595-0002A54212B3,LIVE,ZFARNH15,ZFARNH,VENT,546665.1,170459.9,POINT (546665.0999999996 170459.90000000037)
ZWINWD,None,ZWINWD13,None,150,null,10787301,6F8J9,None,PROP,ZWINWD13,None,None,479744.1577,212187.5848,POINT (479744.15770000033 212187.58479999937)
ZFARNH,None,ZFARNH08,None,152.4,22036432,1791251,12E4Z,C543DB13-9357-11D6-9595-0002A54212B3,LIVE,ZFARNH08,ZFARNH,VENT,546024.9,171033,POINT (546024.9000000004 171033)
ZHAM30,None,ZHAM3012,ZHAM3014,127,22106890,1789244,12CL8,914C7E04-9353-11D6-9595-0002A54212B3,LIVE,ZHAM3012,ZHAM3014,VENT,526951.7,176434.1,POINT (526951.7000000002 176434.09999999963)
ZFINSB,None,ZFINSB88,None,null,null,7239653,4B65H,None,LIVE,ZFINSB88,ZFINSB,None,534123.34805635,181641.75872159,POINT (534123.3481000001 181641.75870000012)
None,None,None,None,150,null,10193250,62H6U,None,LIVE,ZWKREGCS,ZNORWD10,None,530740.119,173243.9851,POINT (530740.119 173243.98509999923)
ZHAM30,None,ZHAM3016,None,150,null,10788530,6F8HE,None,PROP,ZHAM3016,None,None,523183.0868,175385.4008,POINT (523183.0867999997 175385.40080000088)
ZBLUNS,None,ZBLUNS12,ZBLUNS22,203.20000000000002,22031152,1789339,12CNV,DDADEF9A-934B-11D6-9595-0002A54212B3,LIVE,ZBLUNS12,ZBLUNS22,VENT,411271.8,185710.9,POINT (411271.7999999998 185710.90000000037)
ZWOODF,None,None,None,200,22052116,1791606,12EEU,0C6FD3F1-9358-11D6-9595-0002A54212B3,LIVE,ZWOODF,None,VENT,542968.1,182162.7,POINT (542968.0999999996 182162.69999999925)
ZWOODF,None,ZWOODF128,None,150,null,10796026,6FEAM,None,LIVE,ZWOODF128,None,OTH,541161.1726,184063.5407,POINT (541161.1726000002 184063.54069999978)
ZSEWRD,None,None,None,null,null,10234780,63D7G,None,LIVE,ZSEWRD,None,None,533942.893,197757.6245,POINT (533942.8930000002 197757.62450000085)
ZBEAHL,None,ZBEAHL08,None,300,null,10173114,622MI,None,LIVE,ZBEAHL08,ZBEAHL,None,445494.8726,215950.3946,POINT (445494.87260000035 215950.39460000023)
ZSEWRD,None,ZSEWRD33,None,180,25929872,1791160,12E2G,05193EB6-48C2-411A-876F-F55C3490EB1E,LIVE,ZSEWRD33,ZSEWRD,UNK,537700.02547942,195482.73033484,POINT (537700.0255000005 195482.73029999994)
ZEMMGN,None,ZEMMGN04,None,null,26270735,1796261,12I05,C82FC140-6BE4-449E-A91C-697AD52BAA72,LIVE,ZEMMGN,ZWKREGWE,UNK,472676.60000000003,177378,POINT (472676.5999999996 177378)
ZCHIPO,None,ZCHIPO01,None,null,null,10579680,6BRC0,None,LIVE,ZCHIPO01,ZWKREGWE,None,431873.5059,227001.1054,POINT (431873.5059000002 227001.10539999977)
ZRIVSE,None,ZRIVSE03,ZRIVSE04,355.6,19081484,1790447,12DIN,A0F09480-9355-11D6-9595-0002A54212B3,LIVE,ZRIVSE03,ZRIVSE04,VENT,538739.2,177874.6,POINT (538739.2000000002 177874.59999999963)
ZWIDDN,None,None,None,450,26088419,1794706,12GSY,58F04049-9350-11D6-9595-0002A54212B3,LIVE,ZWIDDN,None,VENT,481295.8,197991.2,POINT (481295.7999999998 197991.19999999925)
ZDNSTW,None,ZDNSTW07,None,150,null,10390891,67QOV,None,LIVE,ZWKREGWE,ZDNSTW07,None,445422.6313,231843.6171,POINT (445422.63129999954 231843.61710000038)
ZEALNG,None,ZEALNG05,None,101.60000000000001,21832036,1790154,12DAI,C32DB81A-9352-11D6-9595-0002A54212B3,LIVE,ZEALNG05,ZEALNG05,VENT,517330.3,179985.30000000002,POINT (517330.2999999998 179985.30000000075)
ZCRCHH,None,None,ZCRCHH62,null,null,8209376,5WYE8,None,LIVE,ZCRCHH,ZCRCHH62,None,532498.4054,182678.8641,POINT (532498.4053999996 182678.8640999999)
ZBROML,None,ZBROML02,None,254,16336247,1790448,12DIO,A0F0775F-9355-11D6-9595-0002A54212B3,LIVE,ZBROML02,ZBROML,VENT,538765.2,171498.4,POINT (538765.2000000002 171498.40000000037)
ZWWICK,None,ZWWICK05,None,150,null,10629781,6CU0P,None,LIVE,ZWWICK05,None,None,542051.1771,164546.0045,POINT (542051.1771 164546.0044999998)
ZCRYSB,None,ZCRYSB11,None,177.8,22043315,1790745,12DQX,451A05E1-9355-11D6-9595-0002A54212B3,LIVE,ZCRYSB11,ZCRYSB,VENT,533919,171723.9,POINT (533919 171723.90000000037)
ZCRCHH,None,ZCRCHH56,None,304.8,25635259,1790914,12DVM,EB7CD7CB-7F84-4672-9BB1-646F2FC718C2,LIVE,ZCRCHH56,ZCRCHH,UNK,531845.6,181718.7,POINT (531845.5999999996 181718.69999999925)
ZBLUNS,None,None,ZBLUNS08,600,null,10138759,61B47,None,LIVE,ZBLUNS,ZBLUNS08,None,413735.4902,188968.80000000002,POINT (413735.4901999999 188968.80000000075)
ZBEPRV,None,ZBEPRV06,None,null,null,10857354,6HQL6,None,PROP,ZBEPRV06,None,None,534178.1231,177862.3399,POINT (534178.1231000004 177862.33990000002)
ZEALNG,None,ZEALNG05,None,304.8,21832035,1790156,12DAK,EBF60241-9352-11D6-9595-0002A54212B3,LIVE,ZEALNG05,ZEALNG,VENT,517901.10000000003,180815.80000000002,POINT (517901.0999999996 180815.80000000075)
ZMILLH,None,ZMILLH03,None,177.8,21887952,1790254,12DDA,0BC6DFCE-9354-11D6-9595-0002A54212B3,LIVE,ZMILLH03,ZWKREGCN,VENT,523292,189450.9,POINT (523292 189450.90000000037)
ZWKREGCS,None,None,None,600,null,10655695,6CE0J,None,LIVE,ZWKREGCS,None,None,535108.7182,175437.8351,POINT (535108.7182 175437.83510000072)
ZWOODF,None,ZWOODF130,None,508,22039018,1791722,12EI2,19DDCAFD-9358-11D6-9595-0002A54212B3,LIVE,ZWOODF130,ZWOODF,VENT,543794.7,180051.80000000002,POINT (543794.7000000002 180051.80000000075)
ZNUNHL,None,ZNUNHL04,None,null,null,10857375,6HQMR,None,PROP,ZNUNHL04,None,None,534086.2385,177745.4043,POINT (534086.2385 177745.40430000052)
ZARDLY,None,ZARDLY09,None,350,13923176,1789157,12CIT,CD821B52-9349-11D6-9595-0002A54212B3,LIVE,ZARDLY,ZARDLY09,VENT,458983.8,221376,POINT (458983.7999999998 221376)
ZRAMBY,None,ZRAMBY01,None,101.60000000000001,25119152,1796470,12I5Y,54DC68B8-934C-11D6-9595-0002A54212B3,LIVE,ZRAMBY01,ZRAMBY01,UNK,424638.4,170962.9,POINT (424638.4000000004 170962.90000000037)
ZOXLWD,None,None,None,150,null,10766922,6FST6,None,LIVE,ZOXLWD,None,None,538170.5894,175748.3136,POINT (538170.5893999999 175748.3136)
